PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,pct_electricity,pct_steam,has_parking
Warehouse,47.54187,-122.32714,1967,1,0,124472,5464762.0,237.36,0.2096993428076099,0.0,False
Warehouse,47.54187,-122.32714,1967,1,0,50065,1529510.25,42.65,0.5467508308623626,0.0,False
Warehouse,47.54621,-122.33486,1969,1,0,57540,2582687.0,76.68,0.5076035152536873,0.0,False
Warehouse,47.54853,-122.32814,1966,1,0,85400,1536998.25,10.72,0.999999837345293,0.0,False
Warehouse,47.54912,-122.32819,1966,1,0,55700,519806.0938,3.62,0.9999998195480948,0.0,False
Office,47.54965,-122.3278,1964,1,0,53250,1794187.25,46.93,0.5842049094931424,0.0,False
Office,47.62476,-122.34843,1987,6,28427,50245,2179719.75,28.63,0.8663967007685277,0.0,True
Warehouse,47.71286,-122.34422,1986,3,0,64660,325513.0,6.32,0.7305791166558632,0.0,False
Other,47.61552,-122.31744,1927,2,19928,55916,3684188.5,38.48,0.9247222285178948,0.0,True
Warehouse,47.5701,-122.33342,1968,1,0,161678,9357230.0,204.81,0.6766962017605638,0.0,False
Warehouse,47.57023,-122.33241,1980,1,0,52613,1061458.25,32.02,0.49730830204579407,0.0,False
Other,47.56785,-122.33361,1940,1,0,56608,5094197.0,74.31,0.8349233451317254,0.0,False
Retail,47.69267,-122.35506,2003,1,7450,50734,14715262.0,414.43,0.5406931932302667,0.0,True
Retail,47.73315,-122.3105,1980,1,0,58480,11054535.0,272.54,0.6167397362259018,0.0,False
Office,47.62029,-122.33078,2005,6,124800,211900,9058916.0,54.92,0.8695734677305762,0.0,True
Retail,47.62,-122.33027,1996,4,159994,104014,9937707.0,190.61,0.7353714493695578,0.0,True
Office,47.59367,-122.30957,1914,2,0,62220,5444253.5,38.55,0.9976438459377397,0.0,False
Office,47.59388,-122.31124,1970,1,0,65430,3181045.5,90.24,0.5362365926548363,0.0,False
Office,47.66517,-122.30186,2006,3,42440,59850,6062770.5,49.17,0.9753258844285793,0.0,True
Other,47.6144,-122.30982,1926,3,0,80004,12232124.0,85.28,0.9999998364960984,0.0,False
Warehouse,47.56407,-122.32765,1991,2,0,323916,8024064.5,262.45,0.44218051836447725,0.0,False
Office,47.64037,-122.32626,1978,4,31210,54175,4855036.5,33.85,0.9999998970141625,0.0,True
Warehouse,47.53687,-122.33316,1989,2,0,98024,1988334.5,42.25,0.6905462838370505,0.0,False
Other,47.62405,-122.33084,1928,1,15000,50000,2603931.25,63.89,0.6192740303723456,0.0,True
Office,47.62488,-122.33007,1990,5,66620,77953,5135040.0,35.8,0.9999998052595501,0.0,True
Retail,47.70759,-122.3255,1950,2,0,302812,7290824.5,129.29,0.7667569010884846,0.0,False
Office,47.70744,-122.33171,1974,5,0,86400,9080022.0,293.55,0.45040419505591506,0.0,False
Other,47.7094,-122.31843,1969,2,0,98539,5450441.5,46.49,0.9662215437043036,0.0,False
Office,47.70732,-122.33279,1981,6,0,86483,6361236.5,44.35,0.9999999213989292,0.0,False
Warehouse,47.53926,-122.34143,1976,1,0,51600,1124543.125,22.1,0.7251905079229398,0.0,False
Warehouse,47.53689,-122.33847,1968,1,0,140520,2225512.0,57.73,0.5888640456667948,0.0,False
Office,47.63116,-122.34193,1986,5,62380,91649,4636396.5,58.88,0.8758269487952551,0.0,True
Other,47.70887,-122.33494,2005,3,91935,69854,6963616.5,49.28,0.9977008354782317,0.0,True
Office,47.7126,-122.33782,2005,3,0,63909,4765753.5,33.22,0.9999998950847961,0.0,False
